Record_ID,Bus_ID,Route_ID,Stop_ID,Stop_Name,Latitude,Longitude,Distance_km,Cumulative_Distance_km,Weather,Temperature_C,Day_of_Week,Peak_Hour,Road_Type,Traffic_Level,Speed_kmph,Passenger_Count,Bus_Capacity,Stop_Time_min,Delay_min,Travel_Time_min,Arrival_Time
36,B015,R009,S197,Guntur,16.3067,80.4365,5.27,12.43,Sunny,33,Tuesday,0,Village Road,Medium,18,54,60,2,4,23.6,08:36
37,B003,R019,S177,Tadikonda,16.405,80.643,4.95,32.19,Rainy,29,Monday,1,Village Road,Low,27,59,60,2,5,18.0,08:37
38,B016,R004,S111,Tulluru,16.52,80.58,3.88,15.0,Sunny,33,Saturday,1,Village Road,Medium,35,50,60,4,4,14.7,08:38
39,B009,R015,S063,Tadikonda,16.405,80.643,3.94,25.87,Rainy,36,Friday,1,Main Road,Low,45,26,60,1,5,11.3,08:39
40,B018,R001,S133,Guntur,16.3067,80.4365,2.33,26.26,Rainy,28,Monday,0,Main Road,Low,35,51,60,3,5,12.0,08:40
41,B010,R019,S095,Prathipadu,16.48,80.32,4.03,4.55,Sunny,37,Friday,1,Main Road,Low,45,32,60,2,0,7.4,08:41
42,B007,R007,S190,Vaddeswaram,16.49,80.61,2.61,6.23,Sunny,37,Wednesday,1,Main Road,Low,38,11,60,2,0,6.1,08:42
43,B005,R016,S027,Tenali,16.239,80.645,0.9,16.92,Foggy,22,Friday,1,Main Road,Low,35,35,60,3,4,8.5,08:43
44,B019,R002,S039,Namburu,16.36,80.52,7.58,21.91,Sunny,26,Friday,1,Main Road,High,31,10,60,1,8,23.7,08:44
45,B010,R019,S159,Tenali,16.239,80.645,3.54,30.8,Cloudy,23,Friday,0,Highway,Low,58,53,60,4,1,8.7,08:45
46,B010,R002,S060,Tenali,16.239,80.645,2.53,19.09,Sunny,31,Saturday,1,Main Road,Low,32,49,60,4,0,8.7,08:46
47,B003,R002,S043,Namburu,16.36,80.52,3.86,20.2,Rainy,31,Friday,1,Highway,Medium,52,33,60,2,9,15.5,08:47
48,B011,R020,S065,Mangalagiri,16.4303,80.5681,4.4,19.21,Sunny,22,Monday,0,Main Road,Low,42,48,60,4,0,10.3,08:48
49,B006,R019,S112,Tulluru,16.52,80.58,6.29,11.55,Sunny,37,Monday,1,Main Road,Medium,38,27,60,3,4,16.9,08:49
50,B015,R003,S081,Prathipadu,16.48,80.32,3.76,18.62,Sunny,30,Wednesday,0,Main Road,Medium,35,54,60,1,4,11.4,08:50
51,B002,R007,S069,Prathipadu,16.48,80.32,1.19,16.74,Sunny,39,Tuesday,1,Village Road,Medium,31,33,60,4,4,10.3,08:51
52,B015,R004,S166,Namburu,16.36,80.52,4.77,21.34,Foggy,26,Thursday,1,Highway,Low,52,37,60,1,4,10.5,08:52
53,B003,R009,S198,Ponnur,16.065,80.551,4.09,8.43,Cloudy,35,Wednesday,1,Main Road,Low,45,57,60,2,1,8.5,08:53
54,B015,R011,S049,Guntur,16.3067,80.4365,4.02,18.55,Rainy,29,Friday,1,Main Road,Low,45,19,60,4,5,14.4,08:54
55,B005,R017,S152,Prathipadu,16.48,80.32,7.92,31.69,Sunny,32,Monday,1,Highway,Medium,60,11,60,1,4,12.9,08:55
56,B011,R020,S178,Vaddeswaram,16.49,80.61,7.07,36.17,Rainy,34,Saturday,0,Village Road,Low,31,59,60,3,5,21.7,08:56
57,B008,R003,S112,Pedakakani,16.285,80.49,7.08,8.16,Cloudy,25,Saturday,0,Village Road,Low,33,33,60,3,1,16.9,08:57
58,B019,R006,S044,Tadikonda,16.405,80.643,6.53,15.33,Sunny,27,Monday,1,Main Road,Low,31,44,60,4,0,16.6,08:58
59,B010,R018,S041,Tenali,16.239,80.645,5.39,19.18,Rainy,24,Thursday,1,Main Road,Medium,37,42,60,4,9,21.7,08:59
60,B013,R019,S092,Ponnur,16.065,80.551,6.89,12.87,Sunny,40,Wednesday,1,Main Road,Low,38,6,60,2,0,12.9,08:00
61,B020,R009,S174,Prathipadu,16.48,80.32,6.39,13.29,Sunny,26,Saturday,0,Main Road,High,45,45,60,2,8,18.5,08:01
62,B007,R005,S139,Guntur,16.3067,80.4365,6.07,8.77,Cloudy,33,Friday,1,Main Road,Low,31,58,60,2,1,14.7,08:02
63,B013,R018,S094,Tadikonda,16.405,80.643,6.59,20.64,Rainy,24,Thursday,0,Main Road,Low,39,21,60,2,5,17.1,08:03
64,B020,R018,S084,Vaddeswaram,16.49,80.61,6.72,34.93,Sunny,29,Saturday,0,Highway,Low,56,45,60,1,0,8.2,08:04
65,B008,R018,S035,Namburu,16.36,80.52,1.81,30.2,Sunny,34,Thursday,1,Village Road,Low,21,47,60,1,0,6.2,08:05
66,B007,R015,S114,Vaddeswaram,16.49,80.61,6.8,25.27,Sunny,29,Wednesday,0,Main Road,High,43,48,60,3,8,20.5,08:06
67,B007,R020,S006,Pedakakani,16.285,80.49,2.79,31.84,Rainy,23,Wednesday,0,Main Road,High,31,13,60,1,13,19.4,08:07
68,B005,R018,S065,Tulluru,16.52,80.58,3.17,7.6,Sunny,27,Monday,0,Main Road,High,36,13,60,2,8,15.3,08:08
69,B016,R015,S200,Guntur,16.3067,80.4365,2.05,3.62,Cloudy,33,Friday,0,Main Road,Medium,40,33,60,1,5,9.1,08:09
70,B004,R016,S183,Vaddeswaram,16.49,80.61,5.43,6.36,Rainy,36,Monday,0,Main Road,High,39,25,60,4,13,25.4,08:10
71,B004,R004,S168,Tulluru,16.52,80.58,5.93,17.36,Sunny,39,Saturday,0,Highway,Medium,49,32,60,4,4,15.3,08:11
72,B012,R005,S176,Namburu,16.36,80.52,3.67,25.56,Sunny,37,Monday,0,Village Road,Low,32,58,60,3,0,9.9,08:12
73,B014,R012,S171,Mangalagiri,16.4303,80.5681,4.81,22.4,Sunny,35,Saturday,0,Highway,Medium,48,23,60,1,4,11.0,08:13
74,B004,R009,S147,Tulluru,16.52,80.58,5.53,12.26,Rainy,29,Thursday,0,Main Road,Low,36,43,60,3,5,17.2,08:14
75,B005,R001,S024,Ponnur,16.065,80.551,3.33,8.77,Cloudy,38,Tuesday,1,Highway,Low,53,31,60,1,1,5.8,08:15
76,B020,R002,S173,Namburu,16.36,80.52,6.39,23.42,Sunny,24,Wednesday,1,Main Road,Low,39,47,60,2,0,11.8,08:16
77,B017,R010,S012,Prathipadu,16.48,80.32,2.35,17.72,Sunny,29,Thursday,0,Main Road,Low,43,5,60,4,0,7.3,08:17
78,B013,R018,S181,Tenali,16.239,80.645,2.88,6.48,Sunny,29,Friday,1,Main Road,Medium,34,9,60,2,4,11.1,08:18
79,B014,R010,S030,Prathipadu,16.48,80.32,4.11,6.45,Sunny,34,Monday,1,Village Road,Low,18,15,60,4,0,17.7,08:19
80,B010,R011,S057,Tulluru,16.52,80.58,6.88,14.18,Cloudy,32,Tuesday,0,Main Road,Medium,32,37,60,4,5,21.9,08:20
81,B009,R007,S045,Mangalagiri,16.4303,80.5681,6.04,30.61,Sunny,26,Saturday,0,Main Road,High,41,16,60,2,8,18.8,08:21
82,B019,R002,S091,Namburu,16.36,80.52,1.89,3.94,Sunny,38,Monday,1,Main Road,Medium,40,34,60,3,4,9.8,08:22
83,B015,R019,S142,Namburu,16.36,80.52,5.44,34.76,Cloudy,23,Thursday,0,Highway,Low,56,25,60,4,1,10.8,08:23
84,B002,R008,S182,Tulluru,16.52,80.58,1.55,28.52,Cloudy,36,Thursday,0,Main Road,Low,31,28,60,2,1,6.0,08:24
85,B004,R018,S174,Pedakakani,16.285,80.49,5.69,7.26,Sunny,34,Wednesday,1,Village Road,Medium,28,51,60,3,4,19.2,08:25
86,B020,R003,S080,Tulluru,16.52,80.58,7.4,16.71,Cloudy,39,Thursday,1,Village Road,Medium,22,57,60,2,5,27.2,08:26
87,B007,R008,S036,Tadikonda,16.405,80.643,3.41,14.29,Sunny,26,Monday,1,Main Road,Low,43,59,60,4,0,8.8,08:27
88,B015,R002,S106,Mangalagiri,16.4303,80.5681,5.1,9.73,Cloudy,33,Saturday,0,Main Road,Low,40,33,60,2,1,10.7,08:28
89,B012,R019,S113,Tulluru,16.52,80.58,2.52,31.49,Rainy,36,Wednesday,1,Main Road,Medium,37,37,60,2,9,15.1,08:29
90,B017,R004,S073,Vaddeswaram,16.49,80.61,7.09,8.66,Sunny,24,Tuesday,1,Main Road,Medium,36,33,60,1,4,16.8,08:30
91,B017,R012,S061,Vaddeswaram,16.49,80.61,6.68,33.22,Sunny,34,Monday,1,Highway,High,58,19,60,4,8,18.9,08:31
92,B016,R015,S158,Guntur,16.3067,80.4365,1.79,10.4,Cloudy,22,Monday,0,Main Road,High,40,21,60,2,9,13.7,08:32
93,B003,R004,S128,Tenali,16.239,80.645,2.51,6.17,Cloudy,39,Monday,0,Village Road,Low,27,50,60,4,1,10.6,08:33
94,B003,R017,S140,Tadikonda,16.405,80.643,4.91,10.53,Cloudy,38,Friday,0,Main Road,Medium,41,29,60,3,5,15.2,08:34
95,B019,R011,S035,Namburu,16.36,80.52,6.18,16.89,Sunny,23,Wednesday,1,Highway,Low,57,57,60,1,0,7.5,08:35
96,B007,R002,S052,Tadikonda,16.405,80.643,6.64,8.53,Sunny,23,Wednesday,1,Village Road,Medium,23,37,60,3,4,24.3,08:36
97,B009,R004,S095,Prathipadu,16.48,80.32,6.22,11.95,Rainy,35,Thursday,1,Village Road,Low,19,29,60,3,5,27.6,08:37
98,B014,R020,S047,Pedakakani,16.285,80.49,7.46,23.04,Cloudy,39,Wednesday,1,Village Road,High,29,11,60,1,9,25.4,08:38
99,B012,R020,S112,Mangalagiri,16.4303,80.5681,5.14,17.92,Sunny,30,Saturday,0,Main Road,Medium,39,9,60,1,4,12.9,08:39
100,B012,R012,S099,Prathipadu,16.48,80.32,6.91,27.25,Sunny,40,Monday,0,Main Road,Medium,30,48,60,2,4,19.8,09:40
101,B004,R001,S189,Namburu,16.36,80.52,4.93,20.81,Cloudy,27,Thursday,1,Village Road,Low,20,40,60,2,1,17.8,09:41
102,B005,R003,S116,Mangalagiri,16.4303,80.5681,7.97,16.54,Sunny,27,Saturday,1,Main Road,High,44,10,60,1,8,19.9,09:42
103,B017,R008,S032,Pedakakani,16.285,80.49,6.93,28.28,Cloudy,28,Tuesday,0,Main Road,High,39,55,60,3,9,22.7,09:43
104,B017,R014,S197,Namburu,16.36,80.52,1.73,28.26,Sunny,35,Friday,0,Highway,Low,56,13,60,4,0,5.9,09:44
105,B005,R014,S129,Pedakakani,16.285,80.49,3.28,29.62,Cloudy,23,Monday,0,Main Road,Medium,44,24,60,2,5,11.5,09:45
106,B005,R010,S158,Tadikonda,16.405,80.643,7.24,32.62,Cloudy,39,Monday,0,Highway,Low,52,42,60,3,1,12.4,09:46
107,B019,R014,S159,Tulluru,16.52,80.58,1.38,29.84,Sunny,22,Thursday,1,Highway,Medium,55,46,60,2,4,7.5,09:47
108,B011,R020,S037,Ponnur,16.065,80.551,1.33,3.13,Sunny,32,Saturday,1,Main Road,Medium,39,51,60,2,4,8.0,09:48
109,B005,R004,S013,Pedakakani,16.285,80.49,4.84,14.41,Sunny,31,Thursday,1,Village Road,Medium,34,20,60,2,4,14.5,09:49
110,B003,R013,S130,Tadikonda,16.405,80.643,4.39,19.83,Sunny,36,Tuesday,0,Village Road,Medium,23,42,60,1,4,16.5,09:50
111,B012,R013,S094,Pedakakani,16.285,80.49,2.86,3.11,Sunny,23,Thursday,0,Highway,Low,54,41,60,3,0,6.2,09:51
112,B005,R004,S101,Vaddeswaram,16.49,80.61,4.43,27.36,Foggy,33,Wednesday,1,Highway,Low,54,53,60,1,4,9.9,09:52
113,B020,R017,S036,Tadikonda,16.405,80.643,1.08,22.49,Cloudy,32,Friday,1,Highway,High,57,15,60,2,9,12.1,09:53
114,B012,R011,S173,Prathipadu,16.48,80.32,6.76,22.73,Sunny,25,Thursday,1,Village Road,Medium,34,55,60,1,4,16.9,09:54
115,B005,R008,S009,Guntur,16.3067,80.4365,5.0,10.12,Cloudy,40,Saturday,0,Main Road,Medium,37,17,60,4,5,17.1,09:55
116,B005,R017,S054,Guntur,16.3067,80.4365,5.77,18.08,Rainy,39,Wednesday,1,Main Road,Medium,34,38,60,1,9,20.2,09:56
117,B020,R016,S050,Prathipadu,16.48,80.32,3.26,13.89,Cloudy,29,Wednesday,1,Main Road,Medium,44,19,60,3,5,12.4,09:57
118,B004,R019,S174,Ponnur,16.065,80.551,4.25,21.06,Cloudy,39,Thursday,1,Village Road,High,28,57,60,3,9,21.1,09:58
119,B016,R007,S052,Pedakakani,16.285,80.49,2.87,24.29,Sunny,39,Wednesday,1,Village Road,Low,19,13,60,3,0,12.1,09:59
120,B011,R016,S026,Mangalagiri,16.4303,80.5681,5.62,21.55,Sunny,26,Monday,0,Main Road,Medium,37,31,60,4,4,17.1,09:00
121,B018,R002,S045,Namburu,16.36,80.52,2.85,4.62,Cloudy,35,Tuesday,0,Main Road,Medium,39,58,60,2,5,11.4,09:01
122,B015,R018,S135,Prathipadu,16.48,80.32,0.87,17.91,Foggy,37,Tuesday,1,Village Road,Low,19,22,60,3,4,9.7,09:02
123,B019,R007,S045,Tenali,16.239,80.645,5.47,27.03,Sunny,34,Thursday,1,Village Road,Low,32,10,60,3,0,13.3,09:03
124,B011,R010,S150,Prathipadu,16.48,80.32,3.13,10.57,Sunny,40,Monday,1,Main Road,Low,34,46,60,3,0,8.5,09:04
125,B004,R010,S095,Pedakakani,16.285,80.49,3.01,15.17,Rainy,29,Tuesday,0,Main Road,Medium,33,35,60,3,9,17.5,09:05
126,B020,R003,S135,Tadikonda,16.405,80.643,7.37,30.09,Rainy,36,Friday,1,Main Road,High,43,9,60,2,13,25.3,09:06
127,B003,R017,S115,Tulluru,16.52,80.58,3.16,18.77,Sunny,23,Thursday,0,Highway,Low,51,37,60,4,0,7.7,09:07
128,B002,R014,S089,Prathipadu,16.48,80.32,6.01,17.89,Cloudy,24,Friday,0,Main Road,High,44,9,60,1,9,18.2,09:08
129,B015,R013,S097,Namburu,16.36,80.52,6.31,35.66,Sunny,24,Saturday,0,Highway,Medium,58,46,60,4,4,14.5,09:09
130,B018,R013,S059,Pedakakani,16.285,80.49,6.81,29.5,Sunny,29,Thursday,1,Highway,High,57,14,60,4,8,19.2,09:10
131,B004,R020,S009,Ponnur,16.065,80.551,5.23,33.32,Sunny,36,Friday,0,Highway,High,48,20,60,1,8,15.5,09:11
132,B019,R020,S198,Guntur,16.3067,80.4365,1.81,31.61,Rainy,32,Tuesday,1,Main Road,Low,36,14,60,3,5,11.0,09:12
133,B018,R016,S013,Vaddeswaram,16.49,80.61,4.81,22.56,Sunny,33,Saturday,1,Main Road,Medium,38,55,60,4,4,15.6,09:13
134,B010,R005,S119,Vaddeswaram,16.49,80.61,2.96,8.48,Sunny,23,Friday,1,Main Road,Medium,43,31,60,2,4,10.1,09:14
135,B018,R007,S014,Vaddeswaram,16.49,80.61,2.26,21.66,Rainy,30,Thursday,0,Main Road,High,37,60,60,1,13,17.7,09:15
136,B004,R016,S063,Mangalagiri,16.4303,80.5681,7.06,17.05,Sunny,28,Thursday,0,Highway,High,51,40,60,2,8,18.3,09:16
137,B004,R016,S195,Pedakakani,16.285,80.49,5.47,14.72,Rainy,32,Tuesday,1,Village Road,Low,35,25,60,4,5,18.4,09:17
138,B007,R011,S059,Prathipadu,16.48,80.32,2.68,30.72,Sunny,34,Friday,0,Highway,Medium,52,36,60,2,4,9.1,09:18
139,B006,R005,S185,Vaddeswaram,16.49,80.61,7.76,27.01,Sunny,39,Thursday,0,Main Road,Medium,38,39,60,3,4,19.3,09:19
140,B007,R017,S117,Guntur,16.3067,80.4365,3.77,29.05,Cloudy,33,Monday,1,Main Road,Low,31,47,60,1,1,9.3,09:20
141,B006,R004,S025,Namburu,16.36,80.52,4.61,12.85,Sunny,38,Tuesday,0,Highway,High,58,17,60,4,8,16.8,09:21
142,B010,R003,S168,Tulluru,16.52,80.58,1.37,30.15,Sunny,23,Monday,1,Main Road,Medium,38,29,60,2,4,8.2,09:22
143,B017,R002,S059,Prathipadu,16.48,80.32,1.4,26.76,Sunny,28,Saturday,1,Main Road,Medium,30,22,60,1,4,7.8,09:23
144,B003,R010,S042,Guntur,16.3067,80.4365,7.49,16.92,Cloudy,40,Tuesday,1,Village Road,High,23,48,60,4,9,32.5,09:24
145,B011,R020,S197,Vaddeswaram,16.49,80.61,6.17,16.55,Sunny,34,Wednesday,0,Main Road,Low,32,45,60,1,0,12.6,09:25
146,B003,R020,S076,Ponnur,16.065,80.551,3.36,31.59,Cloudy,29,Saturday,0,Village Road,Medium,25,10,60,4,5,17.1,09:26
147,B004,R005,S023,Ponnur,16.065,80.551,3.4,6.15,Sunny,27,Thursday,1,Highway,High,49,40,60,3,8,15.2,09:27
148,B001,R010,S106,Vaddeswaram,16.49,80.61,3.35,6.14,Sunny,34,Monday,0,Main Road,Medium,30,41,60,4,4,14.7,09:28
149,B014,R010,S124,Vaddeswaram,16.49,80.61,2.74,10.79,Sunny,24,Wednesday,1,Highway,Low,57,20,60,3,0,5.9,09:29
150,B011,R015,S086,Namburu,16.36,80.52,1.78,1.98,Rainy,35,Saturday,0,Main Road,Low,44,24,60,4,5,11.4,09:30
151,B019,R008,S084,Pedakakani,16.285,80.49,2.08,14.03,Cloudy,34,Wednesday,1,Main Road,Low,45,28,60,4,1,7.8,09:31
152,B003,R014,S173,Mangalagiri,16.4303,80.5681,0.99,22.81,Sunny,37,Tuesday,1,Village Road,High,35,20,60,3,8,12.7,09:32
153,B018,R002,S093,Ponnur,16.065,80.551,4.03,21.97,Cloudy,39,Friday,0,Main Road,Medium,42,11,60,4,5,14.8,09:33
154,B014,R004,S003,Tenali,16.239,80.645,4.86,24.21,Foggy,25,Wednesday,0,Main Road,Medium,35,37,60,3,8,19.3,09:34
155,B001,R016,S027,Vaddeswaram,16.49,80.61,3.62,26.79,Cloudy,31,Thursday,0,Main Road,Medium,44,12,60,3,5,12.9,09:35
156,B011,R003,S077,Tadikonda,16.405,80.643,4.55,15.0,Cloudy,23,Saturday,0,Main Road,Low,44,6,60,4,1,11.2,09:36
157,B013,R006,S048,Pedakakani,16.285,80.49,2.06,6.86,Foggy,35,Thursday,0,Main Road,Medium,37,52,60,2,8,13.3,09:37
158,B019,R004,S138,Tulluru,16.52,80.58,0.83,7.27,Cloudy,27,Wednesday,1,Village Road,Low,30,17,60,1,1,3.7,09:38
159,B010,R020,S152,Namburu,16.36,80.52,5.2,22.81,Rainy,24,Saturday,0,Highway,Low,60,25,60,2,5,12.2,09:39
160,B014,R006,S125,Mangalagiri,16.4303,80.5681,5.79,21.11,Sunny,39,Saturday,0,Main Road,Medium,35,40,60,4,4,17.9,09:40
161,B005,R007,S099,Tadikonda,16.405,80.643,6.86,25.44,Foggy,39,Friday,1,Main Road,High,35,31,60,4,12,27.8,09:41
162,B008,R018,S074,Namburu,16.36,80.52,1.4,2.33,Sunny,27,Thursday,1,Main Road,Medium,45,40,60,3,4,8.9,09:42
163,B018,R007,S109,Vaddeswaram,16.49,80.61,6.73,17.74,Sunny,25,Saturday,0,Highway,High,48,24,60,4,8,20.4,09:43
164,B020,R014,S043,Guntur,16.3067,80.4365,7.03,10.55,Sunny,26,Tuesday,0,Main Road,High,32,56,60,3,8,24.2,09:44
165,B005,R014,S016,Guntur,16.3067,80.4365,7.85,16.63,Foggy,30,Saturday,0,Main Road,Medium,35,49,60,1,8,22.5,09:45
166,B003,R003,S104,Tadikonda,16.405,80.643,4.32,21.64,Sunny,38,Saturday,1,Main Road,Low,37,49,60,4,0,11.0,09:46
167,B003,R018,S102,Pedakakani,16.285,80.49,7.06,32.48,Foggy,28,Thursday,0,Main Road,Low,40,36,60,3,4,17.6,09:47
168,B002,R004,S161,Ponnur,16.065,80.551,4.96,21.94,Sunny,36,Monday,0,Main Road,Medium,40,59,60,1,4,12.4,09:48
169,B003,R012,S065,Tadikonda,16.405,80.643,7.97,35.25,Sunny,24,Wednesday,0,Main Road,High,43,8,60,3,8,22.1,09:49
170,B017,R015,S003,Prathipadu,16.48,80.32,5.87,5.9,Sunny,22,Saturday,1,Main Road,Medium,43,57,60,2,4,14.2,09:50
171,B012,R010,S036,Mangalagiri,16.4303,80.5681,1.31,12.8,Sunny,34,Tuesday,0,Village Road,Medium,33,9,60,3,4,9.4,09:51
172,B007,R003,S026,Vaddeswaram,16.49,80.61,6.0,24.84,Sunny,26,Monday,1,Main Road,Low,44,27,60,4,0,12.2,09:52
173,B001,R010,S053,Prathipadu,16.48,80.32,5.44,12.89,Cloudy,38,Friday,0,Main Road,Medium,37,52,60,3,5,16.8,09:53
174,B012,R011,S034,Prathipadu,16.48,80.32,3.58,10.81,Sunny,34,Friday,1,Main Road,Medium,37,28,60,1,4,10.8,09:54
175,B017,R010,S161,Vaddeswaram,16.49,80.61,5.03,5.44,Rainy,38,Thursday,1,Main Road,Low,32,49,60,4,5,18.4,09:55
176,B013,R019,S163,Prathipadu,16.48,80.32,3.03,18.37,Rainy,24,Wednesday,1,Highway,Low,49,51,60,3,5,11.7,09:56
177,B004,R001,S182,Tenali,16.239,80.645,4.06,22.32,Cloudy,26,Saturday,0,Highway,Low,47,15,60,2,1,8.2,09:57
178,B011,R014,S070,Namburu,16.36,80.52,1.71,25.14,Rainy,38,Monday,1,Village Road,Low,29,50,60,1,5,9.5,09:58
179,B004,R019,S173,Tulluru,16.52,80.58,3.39,18.38,Sunny,25,Tuesday,0,Main Road,Medium,44,7,60,3,4,11.6,09:59
180,B008,R011,S064,Guntur,16.3067,80.4365,7.43,12.8,Sunny,35,Saturday,1,Main Road,High,41,22,60,4,8,22.9,09:00
181,B010,R010,S084,Mangalagiri,16.4303,80.5681,2.41,17.88,Sunny,24,Friday,1,Main Road,Low,31,5,60,4,0,8.7,09:01
182,B005,R001,S105,Pedakakani,16.285,80.49,3.45,32.61,Rainy,22,Tuesday,1,Main Road,High,37,45,60,2,13,20.6,09:02
183,B005,R009,S024,Guntur,16.3067,80.4365,1.55,17.44,Sunny,23,Tuesday,1,Village Road,Low,27,49,60,1,0,4.4,09:03
184,B005,R008,S075,Pedakakani,16.285,80.49,1.76,26.36,Cloudy,30,Wednesday,1,Main Road,Low,33,49,60,4,1,8.2,09:04
