stop,stop_lat,stop_lng,stop_distance_km,road_type,institution_id,city
Ramavarappadu Colony,16.520129,80.619937,3.487,Highway,AP_INST_Vignan_University,Vijayawada
Moghalrajpuram Colony,16.497082,80.60901,6.26,Highway,AP_INST_Vignan_University,Vijayawada
Suryaraopet Circle,16.499591,80.576042,8.478,Highway,AP_INST_Vignan_University,Vijayawada
Labbipet Nagar,16.469903,80.554019,12.392,Highway,AP_INST_Vignan_University,Vijayawada
Gandhinagar Mandal Office,16.468507,80.530322,14.453,Highway,AP_INST_Vignan_University,Vijayawada
MG Road Bus Stand,16.441874,80.483726,20.22,Village Road,AP_INST_Vignan_University,Vijayawada
One Town Circle,16.379897,80.449046,27.409,Highway,AP_INST_Vignan_University,Vijayawada
Bandar Road New Town,16.546124,80.631103,0.958,Main Road,AP_INST_Vignan_University,Vijayawada
Kondapalli Center,16.544501,80.61501,2.664,Village Road,AP_INST_Vignan_University,Vijayawada
Gannavaram Station,16.548459,80.608029,3.431,Main Road,AP_INST_Vignan_University,Vijayawada
Nidamanuru Chowk,16.54387,80.58958,5.376,Main Road,AP_INST_Vignan_University,Vijayawada
Ibrahimpatnam Junction,16.565583,80.559331,8.9,Highway,AP_INST_Vignan_University,Vijayawada
Penamaluru Terminus,16.557464,80.520387,12.826,Village Road,AP_INST_Vignan_University,Vijayawada
Vuyyuru Flyover,16.547362,80.482258,16.816,Main Road,AP_INST_Vignan_University,Vijayawada
Nandigama Old Town,16.555336,80.457788,19.456,Highway,AP_INST_Vignan_University,Vijayawada
Tiruvuru Layout,16.61699,80.354759,31.438,Village Road,AP_INST_Vignan_University,Vijayawada
Kankipadu Flyover,16.550087,80.633265,0.921,Main Road,AP_INST_Vignan_University,Vijayawada
Vissannapeta Main Road,16.557096,80.621622,2.382,Main Road,AP_INST_Vignan_University,Vijayawada
Pamarru Terminus,16.568645,80.616296,3.654,Village Road,AP_INST_Vignan_University,Vijayawada
Challapalli Cross Roads,16.582102,80.597439,6.139,Main Road,AP_INST_Vignan_University,Vijayawada
Benz Circle Main Road,16.451924,80.620499,1.126,Highway,AP_INST_KL_University,Vijayawada
Governorpet Bank Colony,16.46726,80.623265,2.845,Village Road,AP_INST_KL_University,Vijayawada
Patamata Gate,16.475971,80.614617,3.853,Main Road,AP_INST_KL_University,Vijayawada
Kanuru Depot,16.489873,80.614809,5.381,Highway,AP_INST_KL_University,Vijayawada
Auto Nagar Flyover,16.517341,80.627471,8.432,Village Road,AP_INST_KL_University,Vijayawada
Nunna Station,16.544246,80.644551,11.674,Highway,AP_INST_KL_University,Vijayawada
Gunadala New Town,16.595223,80.611065,17.09,Main Road,AP_INST_KL_University,Vijayawada
Ramavarappadu New Town,16.635256,80.587541,21.798,Village Road,AP_INST_KL_University,Vijayawada
Moghalrajpuram Flyover,16.724415,80.639957,31.493,Main Road,AP_INST_KL_University,Vijayawada
Suryaraopet Square 9,16.447285,80.628598,1.049,Highway,AP_INST_KL_University,Vijayawada
Labbipet School Road,16.454963,80.63769,2.338,Highway,AP_INST_KL_University,Vijayawada
Gandhinagar Junction,16.465324,80.65229,4.274,Highway,AP_INST_KL_University,Vijayawada
MG Road Old Town,16.468494,80.666929,5.764,Main Road,AP_INST_KL_University,Vijayawada
One Town Bank Colony,16.498977,80.687457,9.552,Main Road,AP_INST_KL_University,Vijayawada
Bandar Road Terminus,16.529616,80.694748,12.564,Main Road,AP_INST_KL_University,Vijayawada
Kondapalli Market,16.558082,80.697919,15.334,Main Road,AP_INST_KL_University,Vijayawada
Gannavaram Temple Road,16.609217,80.750026,23.171,Highway,AP_INST_KL_University,Vijayawada
Nidamanuru Terminus,16.601539,80.868202,31.815,Highway,AP_INST_KL_University,Vijayawada
Ibrahimpatnam Bus Stop,16.443354,80.630952,1.117,Main Road,AP_INST_KL_University,Vijayawada
Penamaluru Old Town,16.441442,80.646522,2.765,Highway,AP_INST_KL_University,Vijayawada
Vuyyuru Gate,16.436636,80.662504,4.506,Main Road,AP_INST_KL_University,Vijayawada
Nandigama Ring Road,16.434992,80.682652,6.661,Highway,AP_INST_KL_University,Vijayawada
Tiruvuru Mandal Office,16.428899,80.705766,9.196,Highway,AP_INST_KL_University,Vijayawada
Kankipadu Main Road,16.428337,80.731702,11.943,Main Road,AP_INST_KL_University,Vijayawada
Vissannapeta Nagar,16.4678,80.760382,15.184,Highway,AP_INST_KL_University,Vijayawada
Pamarru Chowk,16.495798,80.844912,24.661,Main Road,AP_INST_KL_University,Vijayawada
Challapalli Nagar,16.38397,80.866334,26.988,Village Road,AP_INST_KL_University,Vijayawada
Gudivada Station,16.435506,80.626031,0.908,Highway,AP_INST_KL_University,Vijayawada
Machilipatnam Depot,16.429379,80.641811,2.65,Highway,AP_INST_KL_University,Vijayawada
Pedana Mandal Office,16.418705,80.655749,4.544,Highway,AP_INST_KL_University,Vijayawada
Avanigadda Bypass,16.409581,80.661638,5.656,Main Road,AP_INST_KL_University,Vijayawada
Nagayalanka Cross Roads,16.40139,80.678219,7.613,Main Road,AP_INST_KL_University,Vijayawada
Koduru Ring Road,16.374004,80.687441,10.376,Highway,AP_INST_KL_University,Vijayawada
Mylavaram Layout,16.326848,80.696285,15.119,Main Road,AP_INST_KL_University,Vijayawada
Jaggaiahpet Gate,16.275625,80.778041,24.972,Main Road,AP_INST_KL_University,Vijayawada
Musunuru Bypass,16.265623,80.781636,26.057,Village Road,AP_INST_KL_University,Vijayawada
Vatsavai Chowk,16.43329,80.618479,0.973,Main Road,AP_INST_KL_University,Vijayawada
Mandavalli Junction,16.420093,80.615743,2.469,Village Road,AP_INST_KL_University,Vijayawada
Pamidimukkala Station,16.410179,80.619929,3.517,Main Road,AP_INST_KL_University,Vijayawada
Unguturu Center,16.393104,80.628029,5.472,Village Road,AP_INST_KL_University,Vijayawada
Benz Circle Hospital Road,16.361737,80.605366,9.05,Highway,AP_INST_KL_University,Vijayawada
Governorpet Main Road,16.349745,80.613305,10.266,Main Road,AP_INST_KL_University,Vijayawada
Patamata Layout,16.279662,80.63597,18.103,Main Road,AP_INST_KL_University,Vijayawada
Kanuru Station,16.274053,80.634466,18.711,Main Road,AP_INST_KL_University,Vijayawada
Auto Nagar Layout,16.226892,80.578592,24.313,Highway,AP_INST_KL_University,Vijayawada
Nunna Terminus,16.4364,80.612446,1.057,Main Road,AP_INST_KL_University,Vijayawada
Gunadala Temple Road,16.423565,80.609344,2.356,Village Road,AP_INST_KL_University,Vijayawada
Ramavarappadu Center,16.416775,80.59218,4.115,Main Road,AP_INST_KL_University,Vijayawada
Moghalrajpuram Bus Stop,16.407948,80.57627,6.044,Village Road,AP_INST_KL_University,Vijayawada
Suryaraopet Chowk,16.396028,80.570483,7.381,Main Road,AP_INST_KL_University,Vijayawada
Labbipet Bank Colony,16.377174,80.551353,10.305,Highway,AP_INST_KL_University,Vijayawada
Gandhinagar Mandal Office 51,16.378328,80.5077,13.958,Main Road,AP_INST_KL_University,Vijayawada
MG Road Station,16.308224,80.477517,21.298,Highway,AP_INST_KL_University,Vijayawada
One Town New Town,16.315272,80.424353,25.224,Village Road,AP_INST_KL_University,Vijayawada
Bandar Road Terminus 54,16.443846,80.612104,0.934,Highway,AP_INST_KL_University,Vijayawada
Kondapalli Station,16.444738,80.595072,2.742,Main Road,AP_INST_KL_University,Vijayawada
Gannavaram Station 56,16.45046,80.586237,3.789,Village Road,AP_INST_KL_University,Vijayawada
Nidamanuru Terminus 57,16.43137,80.563811,6.167,Main Road,AP_INST_KL_University,Vijayawada
Ibrahimpatnam Center,16.427594,80.548706,7.829,Village Road,AP_INST_KL_University,Vijayawada
Penamaluru Depot,16.42979,80.501141,12.81,Highway,AP_INST_KL_University,Vijayawada
Vuyyuru Square 60,16.433982,80.448856,18.337,Main Road,AP_INST_KL_University,Vijayawada
Nandigama Main Road,16.402348,80.447708,18.955,Main Road,AP_INST_KL_University,Vijayawada
Tiruvuru Gate,16.445148,80.393738,24.197,Village Road,AP_INST_KL_University,Vijayawada
Kankipadu Depot,16.448096,80.61514,0.911,Highway,AP_INST_KL_University,Vijayawada
Vissannapeta Nagar 64,16.458018,80.605894,2.39,Highway,AP_INST_KL_University,Vijayawada
Pamarru Bypass,16.463398,80.587596,4.261,Highway,AP_INST_KL_University,Vijayawada
Challapalli Terminus,16.477469,80.577218,6.094,Highway,AP_INST_KL_University,Vijayawada
Benz Circle Bus Stop,16.517019,80.647825,1.131,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Governorpet Depot,16.526104,80.642244,2.162,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Patamata Terminus,16.538763,80.642805,3.548,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Kanuru Market,16.565495,80.63327,6.644,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Auto Nagar Hospital Road,16.588181,80.632514,9.141,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nunna Bus Stand,16.610802,80.625491,11.747,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gunadala Colony,16.631881,80.668932,14.1,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Ramavarappadu Colony 7,16.681978,80.682982,19.852,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Moghalrajpuram Colony 8,16.725335,80.690746,24.741,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Suryaraopet Colony,16.513696,80.652797,1.039,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Labbipet Center,16.527047,80.659926,2.678,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gandhinagar Temple Road,16.536023,80.675202,4.484,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
MG Road Flyover,16.535593,80.697303,6.326,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
One Town Ring Road,16.566025,80.694243,8.338,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Bandar Road Terminus 14,16.595233,80.706757,11.756,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Kondapalli Old Town,16.603989,80.73216,14.165,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gannavaram Center,16.648972,80.773744,20.846,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nidamanuru Layout,16.734645,80.825891,31.751,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Ibrahimpatnam Depot,16.506663,80.654235,0.879,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Penamaluru Bus Stop,16.503335,80.667988,2.379,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Vuyyuru Circle,16.514943,80.682134,3.952,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nandigama Terminus,16.515382,80.696267,5.439,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Tiruvuru Market 22,16.509283,80.717106,7.585,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Kankipadu Colony,16.492584,80.744809,10.656,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Vissannapeta Center,16.528504,80.80486,17.103,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Pamarru Cross Roads,16.522433,80.861716,23.061,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Challapalli Ring Road,16.462498,80.908829,28.457,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gudivada Hospital Road,16.501751,80.65507,1.129,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Machilipatnam Nagar,16.49021,80.659776,2.375,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Pedana Bank Colony,16.488978,80.673473,3.549,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Avanigadda Gate,16.472253,80.683919,5.592,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nagayalanka Layout,16.463157,80.724863,9.72,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Koduru Hospital Road,16.441544,80.717143,10.513,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Mylavaram Center,16.414394,80.746232,14.842,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Jaggaiahpet Bank Colony,16.390981,80.823849,22.938,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Musunuru Temple Road,16.280933,80.814769,30.919,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Vatsavai Gate,16.498335,80.643692,0.994,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Mandavalli Bank Colony,16.487621,80.645677,2.155,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Pamidimukkala Chowk,16.475564,80.637507,3.611,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Unguturu Center 39,16.456294,80.656902,5.757,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Benz Circle Square,16.432942,80.661313,8.395,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Governorpet Nagar,16.388734,80.643117,13.154,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Patamata Mandal Office,16.362093,80.628073,16.226,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Kanuru Old Town,16.282043,80.6429,25.016,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Auto Nagar Flyover 44,16.268918,80.590023,27.139,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nunna New Town,16.498907,80.639515,1.135,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gunadala Cross Roads,16.489883,80.6288,2.643,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Ramavarappadu Junction,16.477292,80.624368,4.029,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Moghalrajpuram Depot,16.47303,80.593313,6.769,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Suryaraopet Center,16.440547,80.589535,9.532,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Labbipet Nagar 50,16.438824,80.539023,13.696,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gandhinagar Hospital Road,16.378676,80.538208,18.324,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
MG Road Market,16.381759,80.502356,20.703,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
One Town Gate,16.332857,80.45594,28.034,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Bandar Road New Town 54,16.506636,80.635965,1.071,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Kondapalli School Road,16.506749,80.6233,2.42,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Gannavaram New Town,16.504537,80.613676,3.457,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nidamanuru Ring Road,16.499567,80.584579,6.6,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Ibrahimpatnam Hospital Road,16.503584,80.575457,7.53,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Penamaluru Temple Road,16.515955,80.527793,12.641,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Vuyyuru Terminus,16.541324,80.504676,15.541,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Nandigama Station,16.475945,80.432928,22.979,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Tiruvuru Nagar,16.452464,80.38045,28.957,Village Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Kankipadu Bus Stop,16.513796,80.64145,0.898,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Vissannapeta Old Town,16.519702,80.62637,2.525,Main Road,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Pamarru Chowk 65,16.536721,80.620954,4.249,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Challapalli Bank Colony,16.536457,80.604434,5.51,Highway,AP_INST_PVP_Siddhartha_Institute,Vijayawada
Benz Circle School Road,16.526501,80.620209,0.879,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Governorpet Depot 1,16.540008,80.615608,2.426,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Patamata Chowk,16.556825,80.616022,4.272,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Kanuru Chowk,16.575106,80.630824,6.388,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Auto Nagar Depot,16.586168,80.605406,7.673,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Nunna Bridge,16.619234,80.592342,11.572,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Gunadala Gate,16.638545,80.653438,13.805,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Ramavarappadu Layout,16.685267,80.587959,18.844,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Moghalrajpuram Junction,16.798448,80.612713,31.127,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Suryaraopet Center 9,16.525652,80.62447,0.918,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Labbipet Bypass,16.529596,80.639044,2.37,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Gandhinagar Bank Colony,16.54689,80.64293,3.984,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
MG Road Depot,16.556271,80.649509,5.238,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
One Town Flyover,16.570196,80.686003,9.078,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Bandar Road Mandal Office,16.607725,80.693756,12.649,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Kondapalli Market 15,16.616274,80.743749,17.085,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Gannavaram Mandal Office,16.65724,80.74594,20.44,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Nidamanuru Mandal Office,16.666215,80.844929,29.051,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Ibrahimpatnam Market,16.519589,80.630536,1.129,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Penamaluru Gate,16.51658,80.639899,2.133,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Vuyyuru Gate 20,16.519696,80.654884,3.721,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Nandigama Circle 21,16.510686,80.681643,6.63,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Tiruvuru Old Town,16.504392,80.69138,7.772,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Kankipadu Temple Road,16.528494,80.721683,10.895,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Vissannapeta Nagar 24,16.525063,80.792294,18.381,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Pamarru Ring Road,16.513041,80.800947,19.3,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Challapalli Mandal Office,16.557071,80.904609,30.638,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Gudivada Center,16.511483,80.626656,1.063,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Machilipatnam Layout,16.502975,80.640241,2.77,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Pedana Ring Road,16.492567,80.647618,4.129,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Avanigadda Circle,16.483073,80.672811,6.878,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Nagayalanka Gate,16.46879,80.669317,7.637,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Koduru Nagar,16.452192,80.728773,13.749,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Mylavaram Bank Colony,16.422807,80.756458,18.033,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Jaggaiahpet Center,16.403853,80.769621,20.43,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Musunuru Bridge,16.365227,80.836052,28.666,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Vatsavai Temple Road,16.509077,80.619066,1.064,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Mandavalli Cross Roads,16.500015,80.625125,2.138,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Pamidimukkala School Road,16.484982,80.618791,3.74,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Unguturu Depot,16.468802,80.625029,5.563,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Benz Circle Temple Road,16.44799,80.634114,7.994,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Governorpet Junction 41,16.423646,80.60187,10.734,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Patamata Circle,16.356266,80.58674,18.396,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Kanuru Cross Roads,16.293598,80.638273,25.095,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Auto Nagar Layout 44,16.283977,80.631284,26.117,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Nunna Chowk,16.51318,80.612885,0.969,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Gunadala Main Road,16.501804,80.609489,2.178,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Ramavarappadu New Town 47,16.492922,80.598165,3.684,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Moghalrajpuram Mandal Office,16.485512,80.568423,6.616,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Suryaraopet Bus Stand,16.478582,80.559869,7.804,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Labbipet Ring Road,16.414865,80.556103,13.397,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Gandhinagar Main Road,16.409826,80.490741,18.338,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
MG Road Bus Stop,16.372945,80.461458,23.413,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
One Town Terminus,16.328671,80.436043,28.827,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Bandar Road Circle,16.517649,80.610092,1.062,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Kondapalli New Town,16.522929,80.598462,2.346,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Gannavaram Hospital Road,16.519939,80.587603,3.457,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Nidamanuru Terminus 57,16.532443,80.564179,6.146,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Ibrahimpatnam Mandal Office,16.5252,80.532987,9.305,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Penamaluru Gate 59,16.533435,80.523225,10.447,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Vuyyuru Old Town,16.488968,80.487812,14.473,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Nandigama Bypass,16.479674,80.449319,18.705,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Tiruvuru Nagar 62,16.57729,80.342866,30.252,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Kankipadu Hospital Road,16.525868,80.613323,1.077,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
